timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh
1770559754.9950838,57.83433517,12.30764717,57.83430017,12.30768808,6.167,8.246,2.550,7.90
1770559756.000174,57.83435783,12.30760700,57.83432900,12.30764754,6.167,8.276,2.550,7.71
1770559756.9864101,57.83438533,12.30756500,57.83435717,12.30760627,6.167,8.307,2.550,7.84
1770559758.0008729,57.83440867,12.30753133,57.83438292,12.30756880,6.167,8.337,2.550,7.88
1770559758.990969,57.83443300,12.30748767,57.83440796,12.30752823,6.167,8.367,2.550,8.20
1770559759.9922664,57.83446850,12.30743183,57.83443823,12.30748003,6.167,8.396,2.550,8.92
1770559760.9980886,57.83450217,12.30736483,57.83447020,12.30742243,6.167,8.426,2.550,9.66
1770559761.993221,57.83453800,12.30730717,57.83450410,12.30736480,6.167,8.456,2.550,10.21
1770559762.9872215,57.83457917,12.30724767,57.83454163,12.30730623,6.810,8.485,2.820,10.86
1770559763.9926984,57.83461283,12.30718833,57.83457723,12.30724728,6.810,8.515,2.820,11.34
1770559764.9874916,57.83463600,12.30714600,57.83460662,12.30719664,6.810,8.544,2.820,11.23
1770559765.987072,57.83467300,12.30710017,57.83463981,12.30714840,6.810,8.573,2.820,11.48
1770559767.0002317,57.83469633,12.30706483,57.83466807,12.30710662,6.810,8.602,2.820,11.32
1770559767.9957924,57.83469383,12.30705783,57.83468095,12.30708223,6.810,8.631,2.820,10.12
1770559768.984968,57.83468983,12.30705867,57.83468539,12.30707045,6.167,8.660,2.550,8.98
1770559769.984729,57.83468700,12.30705983,57.83468620,12.30706514,6.167,8.689,2.550,7.96
1770559771.001033,57.83468867,12.30705700,57.83468743,12.30706107,6.167,8.718,2.550,7.86
1770559771.9966369,57.83471100,12.30703067,57.83469922,12.30704587,4.667,8.746,1.920,8.51
1770559772.9923558,57.83471817,12.30700933,57.83470869,12.30702760,4.667,8.775,1.920,8.42
1770559773.9980574,57.83470967,12.30702050,57.83470918,12.30702405,4.667,8.803,1.920,6.98
1770559774.9869413,57.83472300,12.30701117,57.83471609,12.30701761,4.667,8.832,1.920,7.19
1770559775.9999907,57.83474267,12.30700100,57.83472938,12.30700930,4.667,8.860,1.920,7.58
1770559776.9955525,57.83476550,12.30698417,57.83474744,12.30699674,4.667,8.888,1.920,8.15
1770559778.000994,57.83480017,12.30697367,57.83477380,12.30698520,4.667,8.916,1.920,9.44
1770559778.9962637,57.83481783,12.30697217,57.83479582,12.30697868,4.667,8.944,1.920,9.27
1770559780.001847,57.83482933,12.30697467,57.83481258,12.30697668,4.643,8.972,1.910,8.46
1770559780.9942453,57.83483200,12.30699050,57.83482229,12.30698359,4.643,9.000,1.910,7.36
