gps_epoch_s,pc_epoch_s,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1770713117.0,1770716717.098,57.83444216666667,12.307349500000003,57.8344434016182,12.30734262501541,3.875,2.5,2.5,1.3630216680998177,6,6,Reverse,84.8,5.8125,1
1770713118.0,1770716718.101,57.83444833333333,12.3073625,57.834445867475765,12.307352562507704,3.875,2.5,2.5,1.4654013937666266,6,6,Reverse,84.9,5.8125,1
1770713119.0,1770716719.097,57.83444666666666,12.307369333333334,57.83444626707121,12.30736094792052,3.875,2.5,2.5,1.4637385616744132,6,6,Reverse,84.8,5.8125,1
1770713120.0,1770716720.096,57.83444666666666,12.307368499999999,57.83444646686893,12.307364723960259,3.875,2.5,2.5,1.3066954179404375,6,6,Reverse,84.6,5.8125,1
1770713121.0,1770716721.094,57.83444933333333,12.307379166666665,57.83444790010113,12.307371945313463,3.875,2.5,2.5,1.2906577985143948,6,6,Reverse,84.5,5.8125,1
1770713122.0,1770716722.096,57.83445283333334,12.307378666666667,57.834450366717235,12.307375305990064,3.875,2.5,2.5,1.2548045777858907,6,6,Reverse,84.4,5.8125,1
1770713123.0,1770716723.097,57.83445083333333,12.307387833333333,57.834450600025285,12.307381569661699,2.925,2.5,2.5,1.3141474359895955,7,7,Reverse,83.7,4.387499999999999,1
1770713124.0,1770716724.1,57.83445533333334,12.307378666666667,57.83445296667931,12.307380118164183,2.925,2.5,2.5,1.4642287780569572,7,7,Reverse,83.3,4.387499999999999,1
1770713125.0,1770716725.096,57.8344465,12.307376166666666,57.83444973333965,12.307378142415425,2.925,2.5,2.5,1.3909717599782665,7,7,Reverse,82.6,4.387499999999999,1
1770713126.0,1770716726.096,57.834447,12.307375333333335,57.834448366669825,12.30737673787438,2.925,2.5,2.5,1.3378096449957875,7,7,Reverse,82.3,4.387499999999999,1
1770713127.0,1770716727.101,57.83444533333333,12.307380333333333,57.83444685000158,12.307378535603856,2.925,2.5,2.5,1.221242011517772,7,7,Reverse,81.9,4.387499999999999,1
1770713128.0,1770716728.096,57.83444516666667,12.307380333333333,57.834446008334126,12.307379434468594,2.925,2.5,2.5,1.1439668687000777,7,7,Reverse,81.6,4.387499999999999,1
1770713129.0,1770716729.096,57.834448,12.307389833333332,57.83444700416706,12.307384633900963,2.925,2.5,2.5,1.2746151564794665,7,7,Reverse,81.3,4.387499999999999,1
1770713130.0,1770716730.08,57.83444833333333,12.307390666666667,57.834447668750194,12.307387650283815,2.925,2.5,2.5,1.3123723608881492,7,7,Reverse,80.9,4.387499999999999,1
1770713131.0,1770716731.096,57.834447,12.307392,57.8344473343751,12.307389825141907,2.925,2.5,2.5,1.2235257736179272,7,7,Reverse,80.3,4.387499999999999,1
1770713132.0,1770716732.101,57.83445533333334,12.307399166666668,57.83445133385422,12.307394495904289,2.925,2.5,2.5,1.4037164493414334,7,7,Reverse,80.2,4.387499999999999,1
1770713133.0,1770716733.095,57.83445916666666,12.307392666666665,57.83445525026044,12.307393581285476,2.925,2.5,2.5,1.3792258675419056,7,7,Reverse,80.0,4.387499999999999,1
1770713134.0,1770716734.099,57.834464499999996,12.307391500000001,57.834459875130214,12.30739254064274,2.925,2.5,2.5,1.4009512707465193,7,7,Reverse,80.0,4.387499999999999,1
1770713135.0,1770716735.093,57.83446833333334,12.307385500000002,57.83446410423178,12.30738902032137,2.925,2.5,2.5,1.4008291394782053,7,7,Reverse,79.6,4.387499999999999,1
1770713136.0,1770716736.097,57.83447116666666,12.307385333333333,57.83446763544922,12.307387176827351,2.925,2.5,2.5,1.3694967105744196,7,7,Reverse,79.7,4.387499999999999,1
1770713137.0,1770716737.108,57.834474666666665,12.307384166666669,57.83447115105794,12.30738567174701,2.925,2.5,2.5,1.3466181690677943,7,7,Reverse,79.7,4.387499999999999,1
1770713138.0,1770716738.106,57.834477666666665,12.307380166666666,57.834474408862306,12.30738291920684,2.925,2.5,2.5,1.3219272429450206,7,7,Reverse,79.6,4.387499999999999,1
1770713139.0,1770716739.096,57.834479333333334,12.307385666666669,57.83447687109782,12.307384292936753,2.925,2.5,2.5,1.323714301108258,7,7,Reverse,79.4,4.387499999999999,1
1770713140.0,1770716740.095,57.834480500000005,12.307392666666665,57.83447868554891,12.307388479801709,2.925,2.5,2.5,1.3776951781045024,7,7,Reverse,79.5,4.387499999999999,1
1770713141.0,1770716741.099,57.83447566666667,12.307390166666668,57.83447717610779,12.307389323234188,2.925,2.5,2.5,1.1497570211292245,7,7,Reverse,79.5,4.387499999999999,1
1770713142.0,1770716742.096,57.83447016666667,12.307379833333334,57.83447367138723,12.307384578283761,2.925,2.5,2.5,1.1054399230396823,7,7,Reverse,79.5,4.387499999999999,1
1770713143.0,1770716743.097,57.834466166666665,12.307379333333332,57.83446991902695,12.307381955808546,2.925,2.5,2.5,1.0209793120001969,7,7,Reverse,79.6,4.387499999999999,1
1770713144.0,1770716744.103,57.83445316666666,12.307393666666666,57.8344615428468,12.307387811237607,2.925,2.5,2.5,1.2817873792926615,7,7,Reverse,79.8,4.387499999999999,1
1770713145.0,1770716745.096,57.834438,12.307408666666667,57.8344497714234,12.307398238952137,2.925,2.5,2.5,1.87614454606602,7,7,Reverse,79.9,4.387499999999999,1
1770713146.0,1770716746.096,57.83443916666667,12.307405666666666,57.83444446904504,12.307401952809402,2.925,2.5,2.5,2.0326862847724336,7,7,Reverse,79.8,4.387499999999999,1
1770713147.0,1770716747.096,57.834438,12.307410833333332,57.834441234522515,12.307406393071366,2.925,2.5,2.5,2.0829121069830174,7,7,Reverse,79.5,4.387499999999999,1
1770713148.0,1770716748.098,57.834439499999995,12.307408166666669,57.83444036726126,12.307407279869018,2.925,2.5,2.5,1.9077611862963428,7,7,Reverse,79.6,4.387499999999999,1
1770713149.0,1770716749.096,57.8344405,12.307405333333334,57.834440433630625,12.307406306601175,2.925,2.5,2.5,1.6470165762613944,7,7,Reverse,79.6,4.387499999999999,1
1770713150.0,1770716750.101,57.8344405,12.307410666666666,57.834440466815316,12.307408486633921,2.925,2.5,2.5,1.4828634398705574,7,7,Reverse,79.8,4.387499999999999,1
1770713151.0,1770716751.093,57.834438,12.307421,57.83443923340766,12.30741474331696,2.925,2.5,2.5,1.524046130092106,7,7,Reverse,79.9,4.387499999999999,1
1770713152.0,1770716752.098,57.834436499999995,12.307425499999999,57.83443786670382,12.30742012165848,2.925,2.5,2.5,1.5171319437858195,7,7,Reverse,80.2,4.387499999999999,1
1770713153.0,1770716753.096,57.834438,12.307420333333335,57.834437933351914,12.307420227495907,2.925,2.5,2.5,1.3287095912256588,7,7,Reverse,80.3,4.387499999999999,1
1770713154.0,1770716754.096,57.834437166666675,12.307414166666668,57.83443755000929,12.307417197081287,2.925,2.5,2.5,1.1071510068175603,7,7,Reverse,80.5,4.387499999999999,1
1770713155.0,1770716755.096,57.83444516666667,12.307408000000002,57.83444135833798,12.307412598540646,2.925,2.5,2.5,0.9209306183508853,7,7,Reverse,80.8,4.387499999999999,1
1770713156.0,1770716756.096,57.83444216666667,12.307405666666666,57.83444176250232,12.307409132603656,2.925,2.5,2.5,0.7067600601252986,7,7,Reverse,80.9,4.387499999999999,1
1770713157.0,1770716757.09,57.83444299999999,12.307401,57.83444238125116,12.307405066301827,4.175,2.5,2.5,0.6052931412187251,6,6,Reverse,81.3,6.262499999999999,1
1770713158.0,1770716758.092,57.83444666666666,12.307404166666666,57.83444452395891,12.307404616484247,4.175,2.5,2.5,0.5781539111865179,6,6,Reverse,81.5,6.262499999999999,1
1770713159.0,1770716759.087,57.83444666666666,12.307397333333332,57.834445595312786,12.30740097490879,4.175,2.5,2.5,0.4809624046179697,6,6,Reverse,81.7,6.262499999999999,1
1770713160.0,1770716760.09,57.83445233333334,12.307395666666666,57.83444896432306,12.307398320787728,4.175,2.5,2.5,0.4956741486742954,6,6,Reverse,81.8,6.262499999999999,1
1770713161.0,1770716761.096,57.83445516666667,12.307389166666667,57.834452065494865,12.307393743727198,4.175,2.5,2.5,0.508370410866151,6,6,Reverse,82.0,6.262499999999999,1
1770713162.0,1770716762.079,57.83445216666667,12.307387333333335,57.83445211608077,12.307390538530266,4.175,2.5,2.5,0.3864394221414523,6,6,Reverse,82.3,6.262499999999999,1
1770713163.0,1770716763.098,57.8344495,12.3073775,57.83445080804039,12.307384019265132,4.175,2.5,2.5,0.4993063749055584,6,6,Reverse,82.4,6.262499999999999,1
1770713164.0,1770716764.098,57.83444883333333,12.307379333333332,57.83444982068686,12.307381676299233,4.175,2.5,2.5,0.4374345098487551,6,6,Reverse,82.3,6.262499999999999,1
1770713165.0,1770716765.095,57.834444500000004,12.307382500000001,57.83444716034343,12.307382088149616,4.175,2.5,2.5,0.5092777108442617,6,6,Reverse,82.2,6.262499999999999,1
