gps_epoch_s,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1770712229.003,57.834430833333336,12.307273333333335,57.83442516179571,12.307274801753307,3.025,2.5,2.5,0.27403839619266357,7,7,Reverse,72.8,4.5375,1
1770712229.999,57.834435666666664,12.307273166666668,57.834430414231186,12.307273984209989,3.025,2.5,2.5,0.2805788363854488,7,7,Reverse,73.5,4.5375,1
1770712231.003,57.83443766666666,12.307273000000002,57.834434040448926,12.307273492104995,3.025,2.5,2.5,0.23148124956217223,7,7,Reverse,74.3,4.5375,1
1770712231.997,57.83444033333333,12.307274500000002,57.83443718689113,12.307273996052498,3.025,2.5,2.5,0.21460011944282492,7,7,Reverse,74.9,4.5375,1
1770712233.001,57.834438666666664,12.307275166666667,57.8344379267789,12.307274581359582,3.025,2.5,2.5,0.35422134986221787,7,7,Reverse,75.8,4.5375,1
1770712233.998,57.8344405,12.3072755,57.834439213389444,12.30727504067979,3.025,2.5,2.5,0.3974748016236533,7,7,Reverse,76.0,4.5375,1
1770712235.002,57.834439833333334,12.307276833333333,57.83443952336139,12.307275937006562,3.025,2.5,2.5,0.4532554058982947,7,7,Reverse,76.4,4.5375,1
1770712235.996,57.834438166666665,12.307277833333334,57.83443884501403,12.307276885169948,3.025,2.5,2.5,0.5513997875962933,7,7,Reverse,76.6,4.5375,1
1770712237.001,57.834436499999995,12.307277166666665,57.834437672507015,12.307277025918307,3.025,2.5,2.5,0.6257935766426371,7,7,Reverse,76.9,4.5375,1
1770712238.004,57.834438166666665,12.307276166666668,57.83443791958684,12.307276596292487,3.025,2.5,2.5,0.586174286549899,7,7,Reverse,77.2,4.5375,1
1770712239.0,57.83444216666667,12.307278,57.834440043126754,12.307277298146245,3.025,2.5,2.5,0.5022690072998466,7,7,Reverse,77.7,4.5375,1
1770712239.995,57.83444183333333,12.307278,57.83444093823004,12.307277649073121,3.025,2.5,2.5,0.3912163585881412,7,7,Reverse,78.2,4.5375,1
1770712241.001,57.83444366666666,12.307278499999999,57.83444230244835,12.30727807453656,3.025,2.5,2.5,0.33382418039608075,7,7,Reverse,78.4,4.5375,1
1770712241.995,57.8344435,12.307280666666667,57.83444290122417,12.307279370601615,3.025,2.5,2.5,0.2660047578967527,7,7,Reverse,78.9,4.5375,1
1770712243.0,57.834436999999994,12.307284666666666,57.83443995061209,12.30728201863414,3.025,2.5,2.5,0.392472456987872,7,7,Reverse,79.2,4.5375,1
1770712244.004,57.83443233333334,12.307288833333333,57.83443614197271,12.307285425983736,3.025,2.5,2.5,0.5566682779991673,7,7,Reverse,78.9,4.5375,1
1770712244.999,57.834424999999996,12.307292333333331,57.834430570986356,12.307288879658534,3.025,2.5,2.5,0.7933924085359901,7,7,Reverse,78.6,4.5375,1
