timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh,sats_used,sats_in_view,direction
1770562820.9676054,57.83458700,12.30741417,57.83455819,12.30736819,3.343,2.500,2.210,4.59,5,5,Forward
1770562821.9574845,57.83461217,12.30744583,57.83458518,12.30740701,3.343,2.500,2.210,4.78,5,5,Forward
1770562822.9514234,57.83463633,12.30748250,57.83461076,12.30744476,3.343,2.500,2.210,5.23,5,5,Forward
1770562823.9661424,57.83466517,12.30751667,57.83463796,12.30748071,3.343,2.500,2.210,5.87,5,5,Forward
1770562824.9706993,57.83469400,12.30754200,57.83466598,12.30751136,3.343,2.500,2.210,6.11,5,5,Forward
1770562825.970877,57.83471283,12.30756533,57.83468941,12.30753834,3.343,2.500,2.210,6.04,5,5,Forward
1770562826.964646,57.83472783,12.30759233,57.83470862,12.30756534,3.343,2.500,2.210,6.23,5,5,Forward
1770562827.9694848,57.83474250,12.30761083,57.83472556,12.30758809,3.343,2.500,2.210,6.17,5,5,Forward
1770562828.9711506,57.83474750,12.30762267,57.83473653,12.30760538,3.343,2.500,2.210,5.34,5,5,Forward
1770562829.9635487,57.83475233,12.30762917,57.83474443,12.30761727,3.343,2.500,2.210,4.67,5,5,Forward
1770562830.9533653,57.83474567,12.30761467,57.83474505,12.30761597,3.343,2.500,2.210,3.53,5,5,Stopped
1770562831.9540362,57.83462467,12.30754133,57.83468486,12.30757865,5.200,2.500,4.160,2.47,4,4,Reverse
1770562832.953212,57.83462033,12.30752117,57.83465260,12.30754991,3.362,2.500,2.230,2.20,5,5,Reverse
1770562833.9643624,57.83461317,12.30751500,57.83463288,12.30753245,5.200,2.500,4.160,1.92,4,4,Reverse
1770562834.960004,57.83461900,12.30750683,57.83462594,12.30751964,5.190,2.500,4.150,1.11,4,4,Reverse
1770562835.9672055,57.83461550,12.30749433,57.83462072,12.30750699,3.343,2.500,2.210,0.28,5,5,Reverse
1770562836.969085,57.83460850,12.30747600,57.83461461,12.30749149,3.343,2.500,2.210,0.42,5,5,Reverse
1770562837.954684,57.83456333,12.30744367,57.83458897,12.30746758,3.343,2.500,2.210,1.24,5,5,Reverse
1770562838.9743626,57.83456283,12.30744500,57.83457590,12.30745629,2.514,2.500,1.340,1.27,6,6,Reverse
1770562839.9529114,57.83458200,12.30744700,57.83457895,12.30745165,3.343,2.500,2.210,0.29,5,5,Reverse
1770562840.964742,57.83459150,12.30744233,57.83458523,12.30744699,4.143,2.500,3.050,1.16,4,4,Reverse
1770562841.9601269,57.83460767,12.30743767,57.83459645,12.30744233,4.152,2.500,3.060,2.26,4,4,Reverse
1770562842.9504628,57.83462000,12.30743350,57.83460822,12.30743791,4.152,2.500,3.060,2.69,4,4,Reverse
1770562843.9634268,57.83460833,12.30741850,57.83460828,12.30742821,4.152,2.500,3.060,1.71,4,4,Reverse
1770562844.9709382,57.83461450,12.30740950,57.83461139,12.30741885,4.152,2.500,3.060,2.22,4,4,Reverse
1770562845.9500947,57.83460683,12.30739233,57.83460911,12.30740559,4.162,2.500,3.070,1.98,4,4,Reverse
1770562846.9532955,57.83460350,12.30738917,57.83460631,12.30739738,4.162,2.500,3.070,1.34,4,4,Reverse
1770562847.9540772,57.83458017,12.30738350,57.83459324,12.30739044,4.162,2.500,3.070,0.08,4,4,Reverse
1770562848.9603055,57.83457250,12.30738383,57.83458287,12.30738714,4.162,2.500,3.070,0.60,4,4,Stopped
1770562849.9542363,57.83456733,12.30738167,57.83457510,12.30738440,4.162,2.500,3.070,0.84,4,4,Stopped
1770562850.9495032,57.83456850,12.30738100,57.83457180,12.30738270,6.000,2.500,9.950,0.65,3,3,Stopped
1770562851.951193,57.83457250,12.30737933,57.83457215,12.30738102,6.000,2.500,9.940,0.56,3,3,Stopped
1770562852.9535332,57.83458050,12.30736450,57.83457633,12.30737276,6.000,2.500,9.930,2.34,3,3,Reverse
1770562853.9645503,57.83452667,12.30734733,57.83455150,12.30736005,3.000,2.500,1.850,0.39,5,5,Reverse
1770562854.9651625,57.83449400,12.30734367,57.83452275,12.30735186,3.000,2.500,1.850,0.98,5,5,Reverse
