timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh,sats_used,sats_in_view
1770561628.9796126,57.83447950,12.30730067,57.83447719,12.30731423,2.448,2.500,1.270,2.37,5,5
1770561629.974869,57.83447483,12.30729283,57.83447601,12.30730353,2.276,2.500,1.090,2.14,6,6
1770561630.9800549,57.83446933,12.30729717,57.83447267,12.30730035,2.276,2.500,1.090,1.75,6,6
1770561631.9750845,57.83446933,12.30729233,57.83447100,12.30729634,2.276,2.500,1.090,1.95,6,6
1770561632.972491,57.83446650,12.30729217,57.83446875,12.30729425,2.276,2.500,1.090,1.53,6,6
1770561633.9768188,57.83446717,12.30730000,57.83446796,12.30729713,2.276,2.500,1.090,0.72,6,6
1770561634.9830885,57.83446950,12.30731083,57.83446873,12.30730398,2.276,2.500,1.090,0.92,6,6
1770561635.9776084,57.83446167,12.30729867,57.83446520,12.30730132,2.276,2.500,1.090,0.98,6,6
1770561636.9735162,57.83446183,12.30729983,57.83446352,12.30730058,2.276,2.500,1.090,0.69,6,6
1770561637.9781168,57.83446183,12.30729583,57.83446267,12.30729821,2.276,2.500,1.090,0.49,6,6
1770561638.9730422,57.83446267,12.30729067,57.83446267,12.30729444,2.276,2.500,1.090,0.64,6,6
1770561639.970746,57.83447400,12.30729950,57.83446834,12.30729697,2.448,2.500,1.270,1.26,5,5
1770561640.9756079,57.83447967,12.30730667,57.83447400,12.30730182,2.448,2.500,1.270,1.63,5,5
1770561641.9709907,57.83447950,12.30731067,57.83447675,12.30730624,2.448,2.500,1.270,1.56,5,5
1770561642.9759848,57.83447700,12.30730917,57.83447688,12.30730770,3.362,2.500,2.230,1.10,3,3
1770561643.9707787,57.83447383,12.30730750,57.83447535,12.30730760,3.476,2.500,2.350,0.57,4,4
1770561644.9655347,57.83447167,12.30731267,57.83447351,12.30731013,3.219,2.500,2.080,0.83,3,3
1770561645.9715497,57.83447267,12.30732033,57.83447309,12.30731523,3.219,2.500,2.080,1.09,3,3
1770561646.9664462,57.83447100,12.30732967,57.83447204,12.30732245,3.533,2.500,2.410,1.14,4,4
1770561647.973543,57.83447167,12.30733333,57.83447186,12.30732789,3.533,2.500,2.410,0.94,4,4
1770561648.9789312,57.83447567,12.30734583,57.83447376,12.30733686,5.429,2.500,4.400,1.40,3,3
1770561649.984675,57.83446483,12.30733467,57.83446930,12.30733576,4.438,2.500,3.360,0.74,4,4
1770561650.9789062,57.83446033,12.30733200,57.83446482,12.30733388,2.829,2.500,1.670,0.71,6,6
1770561651.974453,57.83446833,12.30733250,57.83446657,12.30733319,3.124,2.500,1.980,0.58,5,5
1770561652.9818332,57.83447933,12.30735567,57.83447295,12.30734443,2.371,2.500,1.190,1.52,6,6
1770561653.9661093,57.83448650,12.30737417,57.83447973,12.30735930,2.429,2.500,1.250,1.98,5,5
1770561654.9722085,57.83449550,12.30739033,57.83448761,12.30737482,2.429,2.500,1.250,2.31,5,5
1770561655.9774368,57.83450667,12.30739433,57.83449714,12.30738457,2.429,2.500,1.250,2.64,5,5
1770561656.9715543,57.83451750,12.30740233,57.83450732,12.30739345,2.324,2.500,1.140,3.52,7,7
1770561657.9772172,57.83452067,12.30740500,57.83451399,12.30739923,2.324,2.500,1.140,3.23,7,7
1770561658.9723916,57.83451933,12.30739983,57.83451666,12.30739953,2.381,2.500,1.200,2.46,6,6
1770561659.9797509,57.83451633,12.30740300,57.83451650,12.30740127,2.381,2.500,1.200,1.93,6,6
1770561660.9852533,57.83451100,12.30740033,57.83451375,12.30740080,2.381,2.500,1.200,1.34,6,6
1770561661.9804695,57.83450367,12.30739667,57.83450871,12.30739873,2.381,2.500,1.200,0.74,6,6
1770561662.971791,57.83449467,12.30738583,57.83450169,12.30739228,2.381,2.500,1.200,0.48,6,6
1770561663.980917,57.83448333,12.30737217,57.83449251,12.30738222,2.429,2.500,1.250,0.74,5,5
1770561664.9732993,57.83447100,12.30735433,57.83448176,12.30736828,2.371,2.500,1.190,1.49,6,6
1770561665.9723642,57.83446033,12.30734050,57.83447104,12.30735439,2.371,2.500,1.190,1.84,6,6
1770561666.9683678,57.83445350,12.30733900,57.83446227,12.30734669,2.371,2.500,1.190,1.56,6,6
1770561667.973074,57.83444900,12.30733350,57.83445564,12.30734010,2.429,2.500,1.250,1.35,5,5
1770561668.968885,57.83444500,12.30732483,57.83445032,12.30733247,2.429,2.500,1.250,1.36,5,5
1770561669.97371,57.83443833,12.30731783,57.83444433,12.30732515,2.429,2.500,1.250,1.63,5,5
1770561670.9689164,57.83443250,12.30730833,57.83443841,12.30731674,2.429,2.500,1.250,1.78,5,5
1770561671.9712582,57.83442633,12.30730367,57.83443237,12.30731020,2.429,2.500,1.250,1.61,5,5
1770561672.968734,57.83442183,12.30729867,57.83442710,12.30730444,2.429,2.500,1.250,1.39,5,5
1770561673.9761612,57.83441700,12.30729483,57.83442205,12.30729963,2.429,2.500,1.250,1.34,5,5
1770561674.9714532,57.83440883,12.30728783,57.83441544,12.30729373,2.429,2.500,1.250,1.58,5,5
1770561675.9759548,57.83440300,12.30728250,57.83440922,12.30728812,2.429,2.500,1.250,1.68,5,5
1770561676.9715443,57.83439917,12.30726700,57.83440419,12.30727756,2.429,2.500,1.250,1.94,5,5
1770561677.976452,57.83439417,12.30726400,57.83439918,12.30727078,2.429,2.500,1.250,1.71,5,5
1770561678.9758904,57.83438933,12.30726300,57.83439426,12.30726689,2.429,2.500,1.250,1.51,5,5
1770561679.966143,57.83438550,12.30726667,57.83438988,12.30726678,2.429,2.500,1.250,1.05,5,5
1770561680.9737294,57.83438483,12.30726433,57.83438736,12.30726556,2.429,2.500,1.250,0.76,5,5
1770561681.9724486,57.83438367,12.30726233,57.83438551,12.30726394,2.429,2.500,1.250,0.55,5,5
1770561682.9730422,57.83438100,12.30725800,57.83438326,12.30726097,2.429,2.500,1.250,0.66,5,5
1770561683.9795365,57.83437700,12.30726033,57.83438013,12.30726065,2.429,2.500,1.250,0.63,5,5
1770561684.9732053,57.83437500,12.30725150,57.83437756,12.30725608,2.429,2.500,1.250,0.88,5,5
1770561685.9729688,57.83437133,12.30724767,57.83437445,12.30725187,2.429,2.500,1.250,0.88,5,5
1770561686.9640276,57.83437000,12.30724350,57.83437222,12.30724769,2.429,2.500,1.250,0.86,5,5
1770561687.9712343,57.83436967,12.30724483,57.83437095,12.30724626,2.429,2.500,1.250,0.47,5,5
1770561688.9732382,57.83436983,12.30724183,57.83437039,12.30724405,2.429,2.500,1.250,0.47,5,5
1770561689.9732752,57.83436967,12.30724050,57.83437003,12.30724227,2.429,2.500,1.250,0.46,5,5
1770561690.9735558,57.83436867,12.30725200,57.83436935,12.30724714,2.429,2.500,1.250,0.45,5,5
