time_s,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1747.23,57.83444849999999,12.30729,57.834449691574385,12.30728917097385,3.975,2.5,2.5,0.6359830256808314,6,6,Reverse,79.3,5.9625,1
1748.29,57.83445466666667,12.3072915,57.834452179120525,12.307290335486924,3.975,2.5,2.5,0.7591964801364792,6,6,Reverse,79.2,5.9625,1
1749.27,57.83445783333333,12.3072915,57.83445500622693,12.307290917743462,3.975,2.5,2.5,0.8997230260034462,6,6,Reverse,79.1,5.9625,1
1750.29,57.83445416666667,12.307292833333333,57.834454586446796,12.307291875538398,3.975,2.5,2.5,0.7653238285306354,6,6,Reverse,78.9,5.9625,1
1751.3,57.83445516666667,12.307295333333332,57.834454876556734,12.307293604435865,3.975,2.5,2.5,0.6040045118529309,6,6,Reverse,78.6,5.9625,1
1752.26,57.83445266666666,12.307298500000002,57.8344537716117,12.307296052217934,3.975,2.5,2.5,0.477018856021233,7,7,Reverse,78.6,5.9625,1
1753.24,57.83445583333334,12.307301333333331,57.834454802472514,12.307298692775632,3.975,2.5,2.5,0.6102496517731759,6,6,Reverse,78.3,5.9625,1
1754.27,57.83445983333333,12.3073035,57.834457317902924,12.307301096387816,3.975,2.5,2.5,0.8152707270703435,6,6,Reverse,78.3,5.9625,1
1755.3,57.83446049999999,12.307302,57.834458908951454,12.307301548193909,3.975,2.5,2.5,0.7874001462194792,6,6,Reverse,77.8,5.9625,1
1756.3,57.83446833333334,12.307304500000003,57.8344636211424,12.307303024096955,3.975,2.5,2.5,0.8811511220956769,6,6,Reverse,77.7,5.9625,1
1757.37,57.83446716666667,12.307305666666666,57.83446539390454,12.30730434538181,4.1499999999999995,2.5,2.5,0.9493466127264367,5,5,Reverse,77.8,6.225,1
1758.34,57.83446066666667,12.307309166666668,57.834463030285605,12.30730675602424,3.625,2.5,2.5,0.8076468686459449,6,6,Reverse,77.4,5.4375,1
1759.26,57.8344535,12.307308666666666,57.8344582651428,12.307307711345453,3.625,2.5,2.5,0.6959689869655765,6,6,Reverse,76.9,5.4375,1
1760.28,57.83445466666667,12.30731,57.834456465904736,12.307308855672726,3.625,2.5,2.5,0.5917445026341743,6,6,Reverse,76.1,5.4375,1
1761.3,57.83445366666667,12.307310166666666,57.834455066285706,12.307309511169695,3.625,2.5,2.5,0.467893331015389,6,6,Reverse,75.6,5.4375,1
1762.3,57.83445333333334,12.307309833333333,57.83445419980952,12.307309672251515,3.25,2.5,2.5,0.51681611171328,7,7,Reverse,75.6,4.875,1
1763.29,57.83445366666667,12.30731,57.834453933238095,12.307309836125757,3.25,2.5,2.5,0.6408093882936086,7,7,Reverse,75.3,4.875,1
1764.3,57.8344535,12.307309000000002,57.83445371661905,12.307309418062879,3.25,2.5,2.5,0.6436251719834508,7,7,Reverse,75.2,4.875,1
1765.26,57.8344505,12.307309833333333,57.83445210830953,12.307309625698107,3.25,2.5,2.5,0.5329494148755918,7,7,Reverse,74.9,4.875,1
